restriction_id,open_to,house_in question
2,lowell,lowell
2,cabot,lowell
1,adams,lowell
1,cabot,lowell
1,currier,lowell
1,dunster,lowell
1,eliot,lowell
1,kirkland,lowell
1,leverett,lowell
1,lowell,lowell
1,mather,lowell
1,pforzheimer,lowell
1,quincy,lowell
1,winthrop,lowell
4,adams,adams
4,pforzheimer,adams
3,adams,adams
3,cabot,adams
3,currier,adams
3,dunster,adams
3,eliot,adams
3,kirkland,adams
3,leverett,adams
3,lowell,adams
3,mather,adams
3,pforzheimer,adams
3,quincy,adams
3,winthrop,adams
5,adams,cabot
5,cabot,cabot
5,currier,cabot
5,dunster,cabot
5,eliot,cabot
5,kirkland,cabot
5,leverett,cabot
5,lowell,cabot
5,mather,cabot
5,pforzheimer,cabot
5,quincy,cabot
5,winthrop,cabot
5,freshman,cabot
6,adams,currier
6,cabot,currier
6,currier,currier
6,dunster,currier
6,eliot,currier
6,kirkland,currier
6,leverett,currier
6,lowell,currier
6,mather,currier
6,pforzheimer,currier
6,quincy,currier
6,winthrop,currier
6,freshman,currier
8,dunster,dunster
7,adams,dunster
7,cabot,dunster
7,currier,dunster
7,dunster,dunster
7,eliot,dunster
7,kirkland,dunster
7,leverett,dunster
7,lowell,dunster
7,mather,dunster
7,pforzheimer,dunster
7,quincy,dunster
7,winthrop,dunster
10,eliot,eliot
9,adams,eliot
9,cabot,eliot
9,currier,eliot
9,dunster,eliot
9,eliot,eliot
9,kirkland,eliot
9,leverett,eliot
9,lowell,eliot
9,mather,eliot
9,pforzheimer,eliot
9,quincy,eliot
9,winthrop,eliot
12,kirkland,kirkland
11,adams,kirkland
11,cabot,kirkland
11,currier,kirkland
11,dunster,kirkland
11,eliot,kirkland
11,kirkland,kirkland
11,leverett,kirkland
11,lowell,kirkland
11,mather,kirkland
11,pforzheimer,kirkland
11,quincy,kirkland
11,winthrop,kirkland
14,leverett,leverett
13,adams,leverett
13,cabot,leverett
13,currier,leverett
13,dunster,leverett
13,eliot,leverett
13,kirkland,leverett
13,leverett,leverett
13,lowell,leverett
13,mather,leverett
13,pforzheimer,leverett
13,quincy,leverett
13,winthrop,leverett
15,adams,mather
15,cabot,mather
15,currier,mather
15,dunster,mather
15,eliot,mather
15,kirkland,mather
15,leverett,mather
15,lowell,mather
15,mather,mather
15,pforzheimer,mather
15,quincy,mather
15,winthrop,mather
15,freshman,mather
16,adams,pforzheimer
