start_time,end_time,house,restriction_id
7:30 AM,10:00 AM,lowell,23
11:30 AM,12:00 PM,lowell,1
12:00 PM,2:15 PM,lowell,2
5:00 PM,6:00 PM,lowell,1
6:00 PM,7:00 PM,lowell,2
7:00 PM,7:15 PM,lowell,2
7:30 AM,10:00 AM,adams,24
11:30 AM,2:15 PM,adams,4
5:00 PM,7:15 PM,adams,4
7:30 AM,10:00 AM,cabot,5
11:30 AM,2:30 PM,cabot,5
5:00 PM,7:30 PM,cabot,5
7:30 AM,10:00 AM,currier,6
11:30 AM,2:30 PM,currier,6
5:00 PM,7:30 PM,currier,6
7:30 AM,10:00 AM,dunster,25
11:30 AM,2:15 PM,dunster,7
5:00 PM,6:00 PM,dunster,7
6:00 PM,7:00 PM,dunster,8
7:00 PM,7:15 PM,dunster,7
7:30 AM,10:00 AM,eliot,26
11:30 AM,2:15 PM,eliot,9
5:00 PM,6:00 PM,eliot,9
6:00 PM,7:15 PM,eliot,10
7:30 AM,10:00 AM,kirkland,27
11:30 AM,2:15 PM,kirkland,11
5:00 PM,6:00 PM,kirkland,11
6:00 PM,7:15 PM,kirkland,12
7:30 AM,10:00 AM,leverett,28
11:30 AM,2:15 PM,leverett,13
5:00 PM,5:30 PM,leverett,13
5:30 PM,7:15 PM,leverett,14
7:30 AM,10:00 AM,mather,15
11:30 AM,2:15 PM,mather,15
5:00 PM,7:30 PM,mather,15
7:30 AM,10:00 AM,pforzheimer,16
11:30 AM,2:30 PM,pforzheimer,16
5:00 PM,7:30 PM,pforzheimer,16
7:30 AM,10:00 AM,quincy,29
11:30 AM,2:15 PM,quincy,18
5:00 PM,7:15 PM,quincy,17
7:30 AM,10:00 AM,winthrop,30
11:30 AM,2:15 PM,winthrop,19
5:00 PM,6:00 PM,winthrop,19
6:00 PM,7:00 PM,winthrop,20
7:00 PM,7:15 PM,winthrop,19
7:30 AM,10:15 AM,freshman,21
11:30 AM,2:15 PM,freshman,22
4:30 PM,7:15 PM,freshman,22
